,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,actual ,variable,actual ,variable,index ,value ,,,
country ,tariff rate,,trade-to-GDP ratio,,political landscape ,,trade agreement participation,final ranking ,
Anguilla,13,1,79.51768489,4,63,4,1,2.2,
Aruba,8.45,1,113.97,5,68,5,2,2.8,
Bahamas,3.41,3,73.86,4,52.49,3,2,3.1,
Barbados,4.81,2,58.31,3,54.03,3,3,2.6,
Belize,13.82,1,99.48,5,47.78,3,3,2.8,
Bermuda,39.9,1,58.89,3,67.5,5,1,2,
British Virgin Islands,0,5,110.7003891,5,65,4,1,4.1,
Cayman Islands,4.08,2,44.06,2,66,4,1,2,
Costa Rica,1.27,5,69.33,3,55.94,4,3,3.9,
Cuba,6.69,1,41.46,1,48.8,2,2,1.3,
Curacao,0,5,48.15604998,2,64,4,2,3.4,
Dominica,3.23,3,77.3088685,4,52.58,3,3,3.3,
Dominican Republic,3.22,3,50.38,2,49.51,2,3,2.6,
El Salvador,1.97,4,78.68,4,44.34,1,3,3.5,
Grenada,2.16,3,53.93318147,2,53.73,3,3,2.7,
Guatemala,0.66,5,48.19,2,41.28,1,3,3.3,
Haiti,1.35,5,36.7,1,29.34,1,2,2.8,
Honduras,1.91,4,100.3,5,42.52,1,3,3.8,
Jamaica,3.4,3,18.02,1,50.28,2,3,2.3,
Trinidad and Tobago,1.77,4,68.79795396,3,53.17,3,3,3.4,
United States of America,4,2,20.33,1,53.44,3,3,2,
Argentina,7.2,1,30.876,1,55.79,4,2,1.5,
Bolivia,5.172,2,57.506,3,47.48,1,1,2,
Brazil,8.136,1,34.304,1,51.53,3,2,1.4,
Chile,0.454,5,63.318,3,60.06,4,2,3.7,
Colombia,3.116,3,40.046,1,44.85,1,1,1.8,
Ecuador,6.666,1,52.938,2,49.51,2,1,1.4,
Guyana,6.228,1,55.76,2,44.56,1,1,1.3,
Mexico,0.49,5,80.026,4,48.68,2,2,3.8,
Montserrat,1.75,4,98.8,4,55,4,1,3.4,
Nicaragua,1.988,3,101.972,5,39.12,1,1,3,
Panama,2.44,3,64.518,3,50.51,2,1,2.5,
Paraguay,4.66,2,72.09,4,45.96,1,1,2.3,
Peru,0.71,5,50.924,2,48.15,2,2,3.2,
Saint Vincent and the Grenadines,4.56,2,52.49,2,55.03,3,1,1.9,
Sint Maarten,520.00%,2,15730.00%,5,60,4,1,2.9,
St. Kitts & Nevis,5.4,2,3.5,1,54.4,3,1,1.6,
St. Lucia,5.156,2,32.1,1,49.94,2,1,1.5,
Suriname,7.282,1,11.05,1,49.03,2,1,1.1,
Venezuela,11.544,1,18.25,1,31.84,1,1,1,
Uruguay,5.504,2,52.694,2,60.73,4,1,2,
Belgium,1.7,5,172.18,5,66.81,5,2,4.4,
Bulgaria,1.7,5,122.55,5,62.42,4,2,4.3,
China,2.906,3,36.72,1,53.68,3,2,2.2,
Denmark,1.7,5,116.41,5,71.46,5,2,4.4,
Finland,1.7,5,81.12,4,70.56,5,2,4.1,
France,1.7,5,64.74,3,66.49,5,2,3.8,
Germany,1.7,5,89.72,4,68.62,5,2,4.1,
India,5.862,1,43.78,2,45.41,1,2,1.5,
Indonesia,1.986,3,39.52,1,50.87,2,1,1.9,
Israel,0.946,5,56.18,3,51.54,3,1,3.4,
Italy,1.7,5,64.12,3,62.72,4,2,3.7,
"Korea, Republic of",4.042,2,81.89,4,66.43,5,3,3.1,
Netherlands,1.7,5,158.84,5,68.06,5,2,4.4,
Qatar,3.69,2,74.61,4,46.43,1,2,2.5,
Sweden,1.7,5,93.89,4,71.91,5,2,4.1,
Switzerland,2.452,3,130.91,5,66.03,5,1,3.4,
Turks and Caicos,0,5,48.35892514,2,66.5,5,1,3.3,
United Arab Emirates,2.63,3,144.3298969,5,54.8,3,3,3.6,
United Kingdom,1.526,5,63.58,2,61.02,4,1,3.2,
Antigua and Barbuda ,13.07,1,56.86178062,3,55,3,3,2.2,
