Country,PurchaseOrderDate,Type,Product,Variant,SupplierCountry,Quantity,Value,Freight,Air,BDI,Doses,Distance,Volume,StorageCondition,Openness,Weight,TotalWeight
Guatemala,2022-02-01,Vaccine,1103,1,United States of America,400000,5800000.0,104000.0,205.1,2040,1,3318.143,144.58170008333332,"Between +2° C and + 8° C, must not be frozen",3.3,0.020411111,8164.444399999999
Argentina,2022-02-08,Vaccine,7120,10,India,500000,82500.0,22400.0,205.1,2040,10,8542.694,98.4,"Between +2° C and + 8° C, must not be frozen",1.5,0.027916667,1395.83335
Cayman Islands,2022-02-08,Vaccine,1103,1,United States of America,3000,43500.0,4380.0,205.1,2040,1,2488.701,144.58170008333332,"Between +2° C and + 8° C, must not be frozen",2.0,0.020411111,61.233333
Argentina,2022-02-09,Vaccine,7010,10,India,250000,27500.0,11200.0,205.1,2040,10,8542.694,98.4,"Between +2° C and + 8° C, must not be frozen",1.5,0.02625,656.25
Ecuador,2022-02-10,Vaccine,1901,10,France,465000,776550.0,27280.0,205.1,2040,10,9367.098,215.3453333333333,"Between +2° C and + 8° C, can also be frozen",1.4,0.033933333,1577.8999845000003
Argentina,2022-02-14,Vaccine,7405,1,India,250000,262500.0,73150.0,205.1,2040,1,15817.92,93.08203125,"Between +2° C and + 8° C, must not be frozen",1.5,0.0209999999999999,5249.999999999975
Belize,2022-02-14,Vaccine,8205,1,India,10000,32400.0,7547.0,205.1,2040,1,2979.495,188.1,"Between +2° C and + 8° C, can also be frozen",2.8,0.043333333,433.33333
Anguilla,2022-02-16,Vaccine,7010,10,India,1000,112.5,2400.0,205.1,2040,10,13294.82,186.1640625,"Between +2° C and + 8° C, must not be frozen",2.2,0.038368056,3.8368056
Guyana,2022-02-16,Vaccine,7010,10,India,3690,415.13,2250.0,205.1,2040,10,13838.79,186.1640625,"Between +2° C and + 8° C, must not be frozen",1.3,0.038368056,14.157812664
Jamaica,2022-02-16,Vaccine,8205,1,India,6500,21060.0,5056.0,205.1,2040,1,2549.896,188.1,"Between +2° C and + 8° C, can also be frozen",2.3,0.043333333,281.6666645
Jamaica,2022-02-16,Vaccine,7010,10,India,80000,8800.0,5600.0,205.1,2040,10,2549.896,98.4,"Between +2° C and + 8° C, must not be frozen",2.3,0.02625,210.0
Peru,2022-02-16,Vaccine,1103,1,United States of America,300000,4350000.0,72500.0,205.1,2040,1,5890.553,144.58170008333332,"Between +2° C and + 8° C, must not be frozen",3.2,0.020411111,6123.333299999999
Peru,2022-02-16,Vaccine,1103,1,United States of America,300000,4350000.0,72500.0,205.1,2040,1,5890.553,144.58170008333332,"Between +2° C and + 8° C, must not be frozen",3.2,0.020411111,6123.333299999999
Anguilla,2022-02-18,Vaccine,1103,1,United States of America,1000,14500.0,3967.64,205.1,2040,1,2717.069,144.58170008333332,"Between +2° C and + 8° C, must not be frozen",2.2,0.020411111,20.411111
Guyana,2022-02-18,Vaccine,7405,1,India,23940,23940.0,10100.0,205.1,2040,1,13838.79,93.08203125,"Between +2° C and + 8° C, must not be frozen",1.3,0.0209999999999999,502.7399999999976
Guyana,2022-02-18,Vaccine,8205,1,India,18000,58320.0,11700.0,205.1,2040,1,4096.591,188.1,"Between +2° C and + 8° C, can also be frozen",1.3,0.043333333,779.999994
Jamaica,2022-02-18,Vaccine,8205,5,India,57000,92112.0,9333.0,205.1,2040,5,2549.896,137.18833333333333,"Between +2° C and + 8° C, can also be frozen",2.3,0.030208333,344.3749962
Peru,2022-02-18,Vaccine,8205,1,India,200000,648000.0,88021.0,205.1,2040,1,5890.553,188.1,"Between +2° C and + 8° C, can also be frozen",3.2,0.043333333,8666.6666
Peru,2022-02-18,Vaccine,8205,1,India,200000,648000.0,88021.0,205.1,2040,1,5890.553,188.1,"Between +2° C and + 8° C, can also be frozen",3.2,0.043333333,8666.6666
Jamaica,2022-02-23,Vaccine,1103,1,United States of America,5000,72500.0,5516.55,205.1,2040,1,2549.896,144.58170008333332,"Between +2° C and + 8° C, must not be frozen",2.3,0.020411111,102.055555
Colombia,2022-02-24,Vaccine,7010,10,India,26000,2860.0,2400.0,205.1,2040,10,4021.171,98.4,"Between +2° C and + 8° C, must not be frozen",1.8,0.02625,68.25
Peru,2022-02-25,Vaccine,7405,1,India,400000,420000.0,121771.0,205.1,2040,1,16792.93,93.08203125,"Between +2° C and + 8° C, must not be frozen",3.2,0.0209999999999999,8399.99999999996
Guatemala,2022-03-01,Vaccine,1404,12,Indonesia,600000,70500.0,32395.0,211.7,2358,20,17921.96,94.56148148148148,Should be -20° C or below,3.3,0.019111111,573.33333
Guatemala,2022-03-01,Vaccine,7405,1,India,350000,402500.0,135200.0,211.7,2358,1,15042.3,93.08203125,"Between +2° C and + 8° C, must not be frozen",3.3,0.018967014,6638.454900000001
Honduras,2022-03-01,Vaccine,8205,5,India,434000,701344.0,74521.0,211.7,2358,5,3234.232,137.18833333333333,"Between +2° C and + 8° C, can also be frozen",3.8,0.030208333,2622.0833044
Peru,2022-03-01,Vaccine,1103,1,United States of America,300000,4350000.0,72500.0,211.7,2358,1,5890.553,144.58170008333332,"Between +2° C and + 8° C, must not be frozen",3.2,0.020411111,6123.333299999999
Peru,2022-03-01,Vaccine,1103,1,United States of America,300000,4350000.0,72500.0,211.7,2358,1,5890.553,144.58170008333332,"Between +2° C and + 8° C, must not be frozen",3.2,0.020411111,6123.333299999999
Peru,2022-03-01,Vaccine,1404,12,India,400000,52000.0,10278.0,211.7,2358,20,5890.553,205.7486111111111,Should be -20° C or below,3.2,0.041111111,822.22222
Nicaragua,2022-03-02,Vaccine,1404,12,India,143000,20735.0,5474.86,211.7,2358,20,15167.33,2730.9555,Should be -20° C or below,3.0,0.0295,210.925
Peru,2022-03-03,Vaccine,1901,10,France,300000,459000.0,7890.0,211.7,2358,10,10268.11,215.3453333333333,"Between +2° C and + 8° C, can also be frozen",3.2,0.033933333,1017.99999
Anguilla,2022-03-04,Vaccine,7405,1,India,500,500.0,1300.0,211.7,2358,1,13294.82,93.08203125,"Between +2° C and + 8° C, must not be frozen",2.2,0.0198663414966666,9.9331707483333
Chile,2022-03-04,Vaccine,7010,10,India,150000,16500.0,8089.0,211.7,2358,10,8271.045,98.4,"Between +2° C and + 8° C, must not be frozen",3.7,0.02625,393.75
Chile,2022-03-04,Vaccine,8205,1,India,150000,486000.0,63267.0,211.7,2358,1,8271.045,188.1,"Between +2° C and + 8° C, can also be frozen",3.7,0.043333333,6499.99995
Cayman Islands,2022-03-07,Vaccine,601,1,United States of America,600,480.0,1467.0,211.7,2358,1,14225.51,86.4,"Between +2° C and + 8° C, must not be frozen",2.0,0.0163086698666667,9.785201920000022
Colombia,2022-03-07,Vaccine,7120,10,India,400000,66000.0,18133.0,211.7,2358,10,4021.171,98.4,"Between +2° C and + 8° C, must not be frozen",1.8,0.027916667,1116.6666799999998
Colombia,2022-03-07,Vaccine,1103,1,United States of America,300000,4350000.0,53000.0,211.7,2358,1,4021.171,144.58170008333332,"Between +2° C and + 8° C, must not be frozen",1.8,0.020411111,6123.333299999999
Colombia,2022-03-07,Vaccine,1103,1,United States of America,300000,4350000.0,53000.0,211.7,2358,1,4021.171,144.58170008333332,"Between +2° C and + 8° C, must not be frozen",1.8,0.020411111,6123.333299999999
Colombia,2022-03-07,Vaccine,1103,1,United States of America,300000,4350000.0,53000.0,211.7,2358,1,4021.171,144.58170008333332,"Between +2° C and + 8° C, must not be frozen",1.8,0.020411111,6123.333299999999
