Country,PurchaseOrderDate,Type,Product,Variant,SupplierCountry,Quantity,Value,Freight,Air,BDI,Doses,Weight,Distance,TotalShipmentWeight,prod vol,STORAGE CONDITION,Openness,PredictedWeight,FinalWeight,Volume
Guatemala,2022-02-01,Vaccine,1103.0,1.0,United States of America,400000.0,5800000.0,104000.0,205.1,2040.0,1.0,0.020411111,3318.143,8164.444399999999,144.58170008333332,"Between +2° C and + 8° C, must not be frozen",3.3,0.0204111109999998,0.020411111,143.0835476752576
Argentina,2022-02-08,Vaccine,7120.0,10.0,India,500000.0,82500.0,22400.0,205.1,2040.0,10.0,0.027916667,8542.694,1395.83335,98.4,"Between +2° C and + 8° C, must not be frozen",1.5,0.0276342417500001,0.027916667,101.14128384430873
Cayman Islands,2022-02-08,Vaccine,1103.0,1.0,United States of America,3000.0,43500.0,4380.0,205.1,2040.0,1.0,0.020411111,2488.701,61.233333,144.58170008333332,"Between +2° C and + 8° C, must not be frozen",2.0,0.0204111109999998,0.020411111,143.7214321129135
Argentina,2022-02-09,Vaccine,7010.0,10.0,India,250000.0,27500.0,11200.0,205.1,2040.0,10.0,0.02625,8542.694,656.25,98.4,"Between +2° C and + 8° C, must not be frozen",1.5,0.02627561111,0.02625,99.65902022221549
Ecuador,2022-02-10,Vaccine,1901.0,10.0,France,465000.0,776550.0,27280.0,205.1,2040.0,10.0,0.033933333,9367.098,1577.8999845,215.3453333333333,"Between +2° C and + 8° C, can also be frozen",1.4,0.0334201432433334,0.033933333,208.41081165434346
Argentina,2022-02-14,Vaccine,7405.0,1.0,India,250000.0,262500.0,73150.0,205.1,2040.0,1.0,0.0,15817.92,0.0,93.08203125,"Between +2° C and + 8° C, must not be frozen",1.5,0.0209999999999999,0.0209999999999999,95.94601330806749
Belize,2022-02-14,Vaccine,8205.0,1.0,India,10000.0,32400.0,7547.0,205.1,2040.0,1.0,0.043333333,2979.495,433.33333,188.1,"Between +2° C and + 8° C, can also be frozen",2.8,0.0433333329999997,0.043333333,184.19211506329353
Anguilla,2022-02-16,Vaccine,7010.0,10.0,India,1000.0,112.5,2400.0,205.1,2040.0,10.0,0.038368056,13294.82,3.8368056,186.1640625,"Between +2° C and + 8° C, must not be frozen",2.2,0.0316060364894285,0.038368056,177.7855526547946
Guyana,2022-02-16,Vaccine,7010.0,10.0,India,3690.0,415.13,2250.0,205.1,2040.0,10.0,0.038368056,13838.79,14.157812664,186.1640625,"Between +2° C and + 8° C, must not be frozen",1.3,0.0342075234399999,0.038368056,189.85761450012888
Jamaica,2022-02-16,Vaccine,8205.0,1.0,India,6500.0,21060.0,5056.0,205.1,2040.0,1.0,0.043333333,2549.896,281.6666645,188.1,"Between +2° C and + 8° C, can also be frozen",2.3,0.0433333329999997,0.043333333,182.30313235651934
Jamaica,2022-02-16,Vaccine,7010.0,10.0,India,80000.0,8800.0,5600.0,205.1,2040.0,10.0,0.02625,2549.896,210.0,98.4,"Between +2° C and + 8° C, must not be frozen",2.3,0.0284456184666667,0.02625,107.96030450965027
Peru,2022-02-16,Vaccine,1103.0,1.0,United States of America,300000.0,4350000.0,72500.0,205.1,2040.0,1.0,0.020411111,5890.553,6123.333299999999,144.58170008333332,"Between +2° C and + 8° C, must not be frozen",3.2,0.0204111109999998,0.020411111,143.02812788568178
Peru,2022-02-16,Vaccine,1103.0,1.0,United States of America,300000.0,4350000.0,72500.0,205.1,2040.0,1.0,0.020411111,5890.553,6123.333299999999,144.58170008333332,"Between +2° C and + 8° C, must not be frozen",3.2,0.0204111109999998,0.020411111,143.02812788568178
Anguilla,2022-02-18,Vaccine,1103.0,1.0,United States of America,1000.0,14500.0,3967.64,205.1,2040.0,1.0,0.020411111,2717.069,20.411111,144.58170008333332,"Between +2° C and + 8° C, must not be frozen",2.2,0.0204111109999998,0.020411111,142.93644985580195
Guyana,2022-02-18,Vaccine,7405.0,1.0,India,23940.0,23940.0,10100.0,205.1,2040.0,1.0,0.0,13838.79,0.0,93.08203125,"Between +2° C and + 8° C, must not be frozen",1.3,0.0209999999999999,0.0209999999999999,102.52362919046419
Guyana,2022-02-18,Vaccine,8205.0,1.0,India,18000.0,58320.0,11700.0,205.1,2040.0,1.0,0.043333333,4096.591,779.999994,188.1,"Between +2° C and + 8° C, can also be frozen",1.3,0.0433333329999997,0.043333333,183.21555960037352
