Year,Month,Container Size,Origin,Destination,Rate,Date
2012,Jan,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),590,Jan 2012
2012,Jan,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),770,Jan 2012
2012,Feb,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),590,Feb 2012
2012,Feb,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),770,Feb 2012
2012,Mar,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),680,Mar 2012
2012,Mar,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),850,Mar 2012
2012,Mar,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1760,Mar 2012
2012,Mar,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),2180,Mar 2012
2012,Apr,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),740,Apr 2012
2012,Apr,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),910,Apr 2012
2012,Apr,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1700,Apr 2012
2012,Apr,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),2000,Apr 2012
2012,May,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),680,May 2012
2012,May,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),840,May 2012
2012,May,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1650,May 2012
2012,May,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),2000,May 2012
2012,Jun,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),700,Jun 2012
2012,Jun,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),860,Jun 2012
2012,Jun,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1700,Jun 2012
2012,Jun,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),2000,Jun 2012
2012,Jul,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),670,Jul 2012
2012,Jul,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),840,Jul 2012
2012,Jul,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1500,Jul 2012
2012,Jul,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1650,Jul 2012
2012,Aug,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),650,Aug 2012
2012,Aug,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),830,Aug 2012
2012,Aug,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1750,Aug 2012
2012,Aug,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),2200,Aug 2012
2012,Sep,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),620,Sep 2012
2012,Sep,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),790,Sep 2012
2012,Sep,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1500,Sep 2012
2012,Sep,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1650,Sep 2012
2012,Oct,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),650,Oct 2012
2012,Oct,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),830,Oct 2012
2012,Oct,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1500,Oct 2012
2012,Oct,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1750,Oct 2012
2012,Nov,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),660,Nov 2012
2012,Nov,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),820,Nov 2012
2012,Nov,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1450,Nov 2012
2012,Nov,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1700,Nov 2012
2012,Dec,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),680,Dec 2012
2012,Dec,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),840,Dec 2012
2012,Dec,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1410,Dec 2012
2012,Dec,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1760,Dec 2012
2013,Jan,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),660,Jan 2013
2013,Jan,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),820,Jan 2013
2013,Jan,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1350,Jan 2013
2013,Jan,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1700,Jan 2013
2013,Feb,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),640,Feb 2013
2013,Feb,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),790,Feb 2013
2013,Feb,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1350,Feb 2013
2013,Feb,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1700,Feb 2013
2013,Mar,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),760,Mar 2013
2013,Mar,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),940,Mar 2013
2013,Mar,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1140,Mar 2013
2013,Mar,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1380,Mar 2013
2013,Apr,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),760,Apr 2013
2013,Apr,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),940,Apr 2013
2013,Apr,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1140,Apr 2013
2013,Apr,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1380,Apr 2013
2013,May,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),750,May 2013
2013,May,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),940,May 2013
