Country,PurchaseOrderDate,APOYear,Type,Product,Variant,Quantity,Value,Freight,Insurance,SupplierCountry,Air,BDI,Doses,Weight
Argentina,1/18/2022,2022,Syringe,0002,02,501000,16933.8,42790,108.4,United Arab Emirates,223,1418,,0
Colombia,1/19/2022,2022,Syringe,0208,00,8001000,248031,86808,1841.61,United States of America,223,1418,,0
Brazil,2/1/2022,2022,Syringe,0002,02,2400000,69600,35040,480,Germany,205.1,2040,,0
Brazil,2/1/2022,2022,Syringe,0002,02,2400000,69600,35040,480,Germany,205.1,2040,,0
Brazil,2/1/2022,2022,Syringe,0002,02,2400000,69600,35040,480,Germany,205.1,2040,,0
Brazil,2/1/2022,2022,Syringe,0002,02,2400000,69600,35040,480,Germany,205.1,2040,,0
Brazil,2/1/2022,2022,Syringe,0002,02,2400000,69600,35040,480,Germany,205.1,2040,,0
Brazil,2/1/2022,2022,Syringe,0002,02,2400000,69600,35040,480,Germany,205.1,2040,,0
Brazil,2/1/2022,2022,Syringe,0002,02,2400000,69600,35040,480,Germany,205.1,2040,,0
Brazil,2/1/2022,2022,Syringe,0002,02,2400000,69600,35040,480,Germany,205.1,2040,,0
Brazil,2/1/2022,2022,Syringe,0002,02,2400000,69600,35040,480,Germany,205.1,2040,,0
Guatemala,2/1/2022,2022,Vaccine,1103,01,400000,5800000,104000,3200,United States of America,205.1,2040,1,0.020411111
Haiti,2/1/2022,2022,Vaccine,9001,10,151200,1512000,24991.62,5459.12,Switzerland,205.1,2040,,0
Anguilla,2/2/2022,2022,Vaccine,1404,10,1000,200,2125,31,United States of America,205.1,2040,,0
Dominica,2/4/2022,2022,Vaccine,1404,10,5000,1000,2125,41,United States of America,205.1,2040,,0
Argentina,2/7/2022,2022,Vaccine,0402,01,1000,2150,1833,53,India,205.1,2040,,0
Haiti,2/7/2022,2022,Vaccine,1302,05,200000,300000,17796,561,"Korea, Republic of",205.1,2040,,0
Argentina,2/8/2022,2022,Vaccine,7120,10,500000,82500,22400,1385,United States of America,205.1,2040,10,0.027916667
Argentina,2/8/2022,2022,Vaccine,7405,01,2500,52800,687,128.5,France,205.1,2040,,0
Argentina,2/8/2022,2022,Vaccine,0601,10,300000,90000,26792,1542,United States of America,205.1,2040,,0
Cayman Islands,2/8/2022,2022,Vaccine,1103,01,3000,43500,4380,24,United States of America,205.1,2040,1,0.020411111
Argentina,2/9/2022,2022,Vaccine,7010,10,250000,27500,11200,511,United States of America,205.1,2040,10,0.02625
Cayman Islands,2/9/2022,2022,Vaccine,7701,95,2200,35882,2930,94,France,205.1,2040,,0
Bolivia,2/10/2022,2022,Syringe,0002,02,292000,9256.4,20500,32.73,India,205.1,2040,,0
Bolivia,2/10/2022,2022,Syringe,5001,00,3225,1458.45,14492.18,167.41,Sweden,205.1,2040,,0
Ecuador,2/10/2022,2022,Syringe,0002,02,3501000,302836.5,41600,300,China,205.1,2040,,0
Ecuador,2/10/2022,2022,Vaccine,1901,10,465000,776550,27280,1929.5,France,205.1,2040,10,0.033933333
Guatemala,2/10/2022,2022,Syringe,0207,00,57600,2188.8,16533,45,China,205.1,2040,,0
St. Lucia,2/10/2022,2022,Vaccine,9001,10,5040,50400,10251.64,168,Switzerland,205.1,2040,,0
Cayman Islands,2/11/2022,2022,Vaccine,5301,01,170,3451,2579,4,Belgium,205.1,2040,,0
Cuba,2/11/2022,2022,Vaccine,0101,12,160000,26400,4861,413,United States of America,205.1,2040,20,0.023916667
Guatemala,2/11/2022,2022,Vaccine,7601,95,2193,29013.39,2133,75,France,205.1,2040,,0
Nicaragua,2/11/2022,2022,Vaccine,1201,01,50000,474500,11600,30,Panama,205.1,2040,,0
Peru,2/11/2022,2022,Vaccine,0402,01,50000,107500,21875,1708,India,205.1,2040,,0
Argentina,2/14/2022,2022,Syringe,0208,00,5001000,155031,54000,1149.67,United States of America,205.1,2040,,0
Argentina,2/14/2022,2022,Vaccine,1201,01,200000,1898000,45300,120,Panama,205.1,2040,,0
Argentina,2/14/2022,2022,Vaccine,1201,01,200000,1898000,45300,120,Panama,205.1,2040,,0
Argentina,2/14/2022,2022,Vaccine,1201,01,200000,1898000,45300,120,Panama,205.1,2040,,0
Argentina,2/14/2022,2022,Vaccine,1201,01,200000,1898000,45300,120,Panama,205.1,2040,,0
Argentina,2/14/2022,2022,Vaccine,1201,01,150000,1423500,32500,90,Panama,205.1,2040,,0
Argentina,2/14/2022,2022,Vaccine,1201,01,100000,949000,21317.65,61.18,Panama,205.1,2040,,0
Argentina,2/14/2022,2022,Vaccine,7405,01,250000,262500,73150,4431,India,205.1,2040,,0
Belize,2/14/2022,2022,Vaccine,8205,01,10000,32400,7547,527,United States of America,205.1,2040,1,0.043333333
Argentina,2/15/2022,2022,Immunoglobulin,1601,01,250,3250,1095.49,1.52,"Korea, Republic of",205.1,2040,,0
Argentina,2/15/2022,2022,Vaccine,0502,01,260000,2288000,38049,867,Belgium,205.1,2040,,0
Argentina,2/15/2022,2022,Vaccine,0502,01,90000,792000,14864,302,Belgium,205.1,2040,,0
Argentina,2/15/2022,2022,Vaccine,5301,01,100000,2030000,50693,713,Belgium,205.1,2040,,0
Argentina,2/15/2022,2022,Vaccine,5301,01,100000,2030000,50693,713,Belgium,205.1,2040,,0
Argentina,2/15/2022,2022,Vaccine,5301,01,100000,2030000,50693,713,Belgium,205.1,2040,,0
Argentina,2/15/2022,2022,Vaccine,5301,01,100000,2030000,50693,713,Belgium,205.1,2040,,0
Argentina,2/15/2022,2022,Vaccine,5301,01,100000,2030000,50693,713,Belgium,205.1,2040,,0
Argentina,2/15/2022,2022,Vaccine,5301,01,100000,2030000,50693,713,Belgium,205.1,2040,,0
Argentina,2/15/2022,2022,Vaccine,5301,01,100000,2030000,50693,713,Belgium,205.1,2040,,0
Argentina,2/15/2022,2022,Vaccine,5301,01,50000,1015000,25859,358,Belgium,205.1,2040,,0
Honduras,2/15/2022,2022,Vaccine,6010,01,105100,262750,45228,94,Belgium,205.1,2040,,0
Honduras,2/15/2022,2022,Vaccine,6010,01,105100,262750,45228,94,Belgium,205.1,2040,,0
Anguilla,2/16/2022,2022,Vaccine,7010,10,1000,112.5,2400,1,India,205.1,2040,10,0.038368056
Argentina,2/16/2022,2022,Syringe,0208,00,10000000,263000,122150,423.66,India,205.1,2040,,0
Guyana,2/16/2022,2022,Vaccine,1404,10,24950,5239.5,2880,20,India,205.1,2040,,0
Guyana,2/16/2022,2022,Vaccine,7010,10,3690,415.13,2250,1,India,205.1,2040,10,0.038368056
