DATE,Air,BDI,Decay
1/1/2020,149.9,487,0.009852794
2/1/2020,190.1,535,0.009852794
3/1/2020,153.7,626,0.009852794
4/1/2020,157.4,635,0.009852794
5/1/2020,158.4,504,0.010567203
6/1/2020,149.8,1799,0.011333411
7/1/2020,150.6,1350,0.012155177
8/1/2020,150.4,1488,0.013036527
9/1/2020,144,1725,0.013981782
10/1/2020,137.4,1283,0.014995575
11/1/2020,144.1,1227,0.016082877
12/1/2020,151.4,1366,0.017249018
1/1/2021,151.2,1452,0.018499713
2/1/2021,163.4,1675,0.019841094
3/1/2021,164,2046,0.021279736
4/1/2021,162.2,3053,0.022822691
5/1/2021,149.2,2596,0.024477523
6/1/2021,141.9,3383,0.026252344
7/1/2021,147.5,3292,0.028155854
8/1/2021,241.3,4132,0.030197383
9/1/2021,150.2,5167,0.032386941
10/1/2021,152.3,3519,0.034735259
11/1/2021,200.4,3018,0.037253849
12/1/2021,211.6,2217,0.039955058
1/1/2022,223,1418,0.042852127
2/1/2022,205.1,2040,0.045959257
3/1/2022,211.7,2358,0.049291679
4/1/2022,222.7,2404,0.052865729
5/1/2022,219.8,2566,0.056698927
6/1/2022,227.9,2240,0.060810063
7/1/2022,217.3,1895,0.06521929
8/1/2022,217.1,965,0.069948222
9/1/2022,230.8,1760,0.07502004
10/1/2022,228.1,1463,0.080459607
11/1/2022,195.2,1355,0.086293586
12/1/2022,203.5,1515,0.092550578
1/1/2023,193.8,681,0.099261252
2/1/2023,212.1,990,0.106458504
3/1/2023,195.9,1389,0.114177617
4/1/2023,184.1,1576,0.122456428
5/1/2023,175,977,0.131335521
6/1/2023,179.6,1091,0.140858421
7/1/2023,167.2,1127,0.151071809
8/1/2023,167,1086,0.162025751
9/1/2023,180.3,1701,0.173773943
10/1/2023,180.6,1459,0.186373976
11/1/2023,177.2,2937,0.199887614
12/1/2023,175.2,2094,0.214381101
1/1/2024,167.4,1398,0.229925485
2/1/2024,170.9,2111,0.246596964
3/1/2024,168.2,1821,0.264477261
4/1/2024,166.7,1685,0.283654026
5/1/2024,165.5,1815,0.304221264
6/1/2024,167.9,2050,0.326279795
7/1/2024,169.7,1708,0.349937749
8/1/2024,170.1,1814,0.375311099
9/1/2024,167.2,2084,0.402524224
10/1/2024,169.1,1388,0.431710523
11/1/2024,172.8,1354,0.463013068
12/1/2024,165.8,997,0.496585304
1/1/2025,170.5,735,0.532591801
2/1/2025,168.4,1229,0.571209064
3/1/2025,168.5,1598,0.612626394
4/1/2025,167.3,1386,0.65704682
5/1/2025,163.4,1418,0.70468809
6/1/2025,162.5,1489,0.755783741
7/1/2025,159.4,2003,0.810584246
8/1/2025,159.4,2025,0.869358235
9/1/2025,158.3,2134,0.93239382
10/1/2025,159,1996,1
11/1/2025,159.7,2560,1
12/1/2025,154.6,1877,1
1/1/2026,154.6,2148,1
2/1/2026,154.6,1923,1
